"NOM";"CP";"URL";"SOUS_TYPE";"LATTI";"LONGI";"Public";"ORGANISME";"Type";"GCD";"COMMUNE"
"musée Bonaparte";"21130";"www.auxonne.fr/musee-bonaparte";"Archeologie";47.190963;5.383768;"";"";"Musée";"";"AUXONNE"
"musée du Vin de Bourgogne";"21200";"www.beaune.fr/spip.php?rubrique171";"Arts décoratif";47.023618;4.837574;"";"";"Musée";"";"BEAUNE"
"musée du Costume";"58140";"nievre.fr/cadre-de-vie/culture-et-patrimoine/musees/cite-museale/";"Arts décoratif";47.06721;3.934311;"";"";"Musée";"";"CHATEAU-CHINON"
"musée Archéologique de la Porte du Croux";"58000";"www.nevers.fr/vivre-a-nevers/culture/les-musees/le-musee-archeologique-du-nivernais-porte-du-croux";"Archeologie";46.986949;3.154223;"";"";"Musée";"";"NEVERS"
"musée Ernest Guedon";"58150";"non renseigne";"Sciences de la nature";47.285947;2.949487;"";"";"Musée";"";"POUILLY-SUR-LOIRE"
"musée du Grès";"58310";"nievre.fr/cadre-de-vie/culture-et-patrimoine/musees/saint-amand-en-puisaye-musee-du-gres/";"Archeologie";47.529775;3.07388;"";"";"Musée";"";"SAINT-AMAND-EN-PUISAYE"
"musée Auguste Grasset";"58210";"varzy.fr/vie-municipale/musee-municipal-auguste-grasset/";"Archeologie";47.357394;3.386114;"";"";"Musée";"";"VARZY"
"musée Verger-Tarin";"71400";"non renseigne";"Arts décoratif";46.949043;4.302971;"";"";"Musée";"";"AUTUN"
"musée des ursulines";"71000";"www.macon.fr/vivre-et-bouger-a-macon/culture/musee-des-ursulines";"Archeologie";46.307508;4.833156;"";"";"Musée";"";"MACON"
"musée Colette";"89520";"www.musee-colette.com/index.php";"Histoire";47.618015;3.197026;"";"";"Musée";"";"SAINT-SAUVEUR-EN-PUISAYE"
"musée Municipal";"89700";"www.tonnerre-patrimoine.com/?s=mus%C3%A9e";"Arts décoratif";47.8559;3.97555;"";"";"Musée";"";"TONNERRE"
"musée Zervos";"89450";"www.yonne.fr/Culture-et-Vie-Locale/Sites-et-monuments/Musee-Zervos";"Art";47.464133;3.74361;"";"";"Musée";"";"VEZELAY"
"musée de la pêche";"29900";"www.musee-peche.fr/";"Histoire";47.872103;-3.915485;"";"";"Musée";"";"CONCARNEAU"
"écomusée d’Ouessant";"29242";"pnr-armorique.fr/destination-parc/nos-maisons-de-parc/ecomusee-douessant/";"Histoire";48.460549;-5.110775;"";"";"Musée";"";"OUESSANT"
"musée des Phares et Balises";"29242";"www.pnr-armorique.fr/destination-parc/nos-maisons-de-parc/musee-des-phares-et-balises/";"Histoire";48.458998;-5.128812;"";"";"Musée";"";"OUESSANT"
"Ecomusée du Pays de Montfort";"04600";"www.montfort-sur-meu.bzh/se-divertir/montfort-linattendue/architecture-et-patrimoine/";"Histoire";48.141088;-1.959973;"";"";"Musée";"";"MONTFORT"
"Ecomusée de l Ile de Groix";"56590";"www.groix.fr/?mode=ecomusee-maison-kerlard";"Histoire";47.63992;-3.434074;"";"";"Musée";"";"ILE_DE_GROIX"
"Ecomusée Industriel des Forges";"56650";"www.inzinzac-lochrist.fr/Ecomusee-des-Forges.6681.0.html";"Histoire";47.824974;-3.25232;"";"";"Musée";"";"INZINZAC-LOCHRIST"
"musée des beaux-arts";"56000";"www.mairie-vannes.fr/vannesloisirs/musees/musee-des-beaux-arts-la-cohue/";"Art";47.657693;-2.757556;"";"";"Musée";"";"VANNES"
"musée Estève";"18000";"www.bourges.fr/site/musee-esteve";"Art";47.085951;2.396195;"";"";"Musée";"";"BOURGES"
"musée des Meilleurs Ouvriers de France";"18000";"www.bourges.fr/site/musee-meilleurs-ouvriers-france";"Arts décoratif";47.081774;2.398494;"";"";"Musée";"";"BOURGES"
"musée des beaux-arts";"28000";"www.chartres.fr/patrimoine-historique/le-musee-des-beaux-arts/";"Archeologie";48.447624;1.486763;"";"";"Musée";"";"CHARTRES"
"château musée";"36290";"www.chateau-azay-le-ferron.com/fr/";"Arts décoratif";46.851361;1.069524;"";"";"Musée";"";"AZAY-LE-FERRON"
"musée - Hôtel Morin";"37400";"www.ville-amboise.fr/97/musee-hotel-morin.htm";"Arts décoratif";47.410737;0.981446;"";"";"Musée";"";"AMBOISE"
"musée municipal";"37120";"www.ville-richelieu.fr/culture-tourisme-patrimoine/musee-et-espace-richelieu/";"Arts décoratif";47.011912;0.324353;"";"";"Musée";"";"RICHELIEU"
"musée de Sologne";"41000";"museedesologne.romorantin.com/";"Arts décoratif";47.35732336;1.74368827;"";"";"Musée";"";"ROMORANTIN-LANTENAY"
"musée municipal";"41100";"www.vendome.eu/le-musee";"Arts décoratif";47.792111;1.064507;"";"";"Musée";"";"VENDOME"
"musée Daniel Vannier";"45190";"www.beaugency.fr/decouvrir-beaugency/la-ville-2/au-fil-des-monuments/le-chateau/";"Arts décoratif";47.777611;1.633585;"";"";"Musée";"";"BEAUGENCY"
"musée municipal";"45300";"non renseigne";"Archeologie";48.172521;2.255004;"";"";"Musée";"";"PITHIVIERS"
"Musée de la Maison de la Dernière Cartouche";"08140";"www.maisondeladernierecartouche.com/index.php?lang=fr";"Histoire";49.681745;4.975035;"";"";"Musée";"";"BAZEILLES"
"musée du Château-Fort";"08200";"musee-municipal-sedan.over-blog.com/a-propos-du-musee.html";"Archeologie";49.695347;4.919074;"";"";"Musée";"";"SEDAN"
"musée Napoléon Ier";"10500";"www.musee-napoleon-brienne.fr/lhistoire-du-musee";"Arts décoratif";48.388915;4.528446;"";"";"Musée";"";"BRIENNE-LE-CHATEAU"
"musée d Art Moderne";"10000";"www.musees-troyes.com/art-moderne/";"Arts décoratif";48.299643;4.080736;"";"";"Musée";"";"TROYES"
