,DEP,Population,NombreEvenements,Concentration,moy_lati,moy_longi
94,28,389200.0,562.0,1.4439876670092497,48.3222769113344,1.6050384440771213
95,43,152600.0,711.0,4.659239842726081,45.25247859717579,3.466706361524638
96,47,295800.0,569.0,1.9235970250169032,44.59366568265063,0.7165486289336007
97,70,222000.0,518.0,2.3333333333333335,47.575572635250325,5.612921061387648
98,50,365100.0,594.0,1.6269515201314708,48.78129618479071,-0.5442481324565889
99,74,607600.0,513.0,0.8443054641211323,46.27305031534035,5.624924571448974
100,51,547700.0,595.0,1.0863611466131093,48.659446128541866,3.853488930254634
101,90,140300.0,116.0,0.82679971489665,47.59303911304456,6.395773540500579
102,19,185400.0,534.0,2.8802588996763756,45.484540548682745,1.9495946496693648
103,01,532800.0,669.0,1.2556306306306306,46.487251187284414,3.1761504790687267
104,48,58000.0,282.0,4.862068965517241,44.75268191007719,3.328022338034184
105,24,337100.0,1017.0,3.016908929101157,45.14682474010823,0.9961677201683246
106,89,328300.0,695.0,2.116966189460859,47.71219397835576,3.4820083109740403
107,18,289600.0,546.0,1.8853591160220995,47.0446932380208,2.405525732904558
