"Type";"NOM";"CP";"COMMUNE";"SOUS_TYPE";"FAUTEUIL";"ECRAN";"GCD";"LATTI";"LONGI";"ORGANISME";"Public";"URL"
"Cinéma";"Elysee";"36100";"Issoudun";"Cinéma";469;3;"2 - Centres urbains intermédiaires";46.94976987;1.99471744;"";"";""
"Cinéma";"Le Balzac";"37110";"Château-Renault";"Cinéma";216;1;"3 - Petites villes";47.5919988;0.91571981;"";"";""
"Cinéma";"Le Generique";"37250";"Montbazon";"Cinéma";182;1;"4 - Ceintures urbaines";47.2872779;0.71265989;"";"";""
"Cinéma";"L Escale";"37540";"Saint-Cyr-sur-Loire";"Cinéma";292;1;"1 - Grands centres urbains";47.41957133;0.6546402;"";"";""
"Cinéma";"Mega Cgr 2 Lions";"37000";"Tours";"Cinéma";2574;13;"1 - Grands centres urbains";47.365422;0.680755;"";"";""
"Cinéma";"Studio des Ursulines";"37000";"Tours";"Cinéma";1067;7;"1 - Grands centres urbains";47.39462749;0.69711322;"";"";""
"Cinéma";"Le Laussy";"38610";"Gières";"Cinéma";294;1;"1 - Grands centres urbains";45.17999637;5.79105175;"";"";""
"Cinéma";"Le Melies";"38000";"Grenoble";"Cinéma";524;3;"1 - Grands centres urbains";45.18265518;5.72345531;"";"";""
"Cinéma";"Le Signal";"38750";"Huez";"Cinéma";312;1;"5 - Bourgs ruraux";45.080667;6.0585;"";"";""
"Cinéma";"Le Cairn";"38250";"Lans-en-Vercors";"Cinéma";184;1;"6 - Rural à habitat dispersé";45.12706308;5.59177427;"";"";""
"Cinéma";"Le Clos";"38112";"Autrans-Méaudre_en_Vercors";"Cinéma";160;1;"6 - Rural à habitat dispersé";45.1750733;5.540751;"";"";""
"Cinéma";"Rex";"38550";"Le_Péage-de-Roussillon";"Cinéma";360;3;"4 - Ceintures urbaines";45.37108518;4.79693239;"";"";""
"Cinéma";"Le Diamant";"38480";"Le_Pont-de-Beauvoisin";"Cinéma";189;2;"3 - Petites villes";45.53645648;5.67094056;"";"";""
"Cinéma";"Le Saint Jean";"38440";"Saint-Jean-de-Bournay";"Cinéma";285;1;"5 - Bourgs ruraux";45.50119988;5.14190009;"";"";""
"Cinéma";"Les Melies";"38160";"Saint-Marcellin";"Cinéma";330;2;"3 - Petites villes";45.15560894;5.31841472;"";"";""
"Cinéma";"Paradiso";"38210";"Tullins";"Cinéma";106;1;"3 - Petites villes";45.29720564;5.4834563;"";"";""
"Cinéma";"Cinema de Vaujany";"38114";"Vaujany";"Cinéma";130;1;"6 - Rural à habitat dispersé";45.15754241;6.07849321;"";"";""
"Cinéma";"Pass R L";"38500";"Voiron";"Cinéma";1076;6;"2 - Centres urbains intermédiaires";45.36465538;5.59286724;"";"";""
"Cinéma";"Le Cap Cinéma de Voreppe";"38340";"Voreppe";"Cinéma";218;2;"4 - Ceintures urbaines";45.29658141;5.63611372;"";"";""
"Cinéma";"Salle des Fetes (Ex Central Cinema)";"39460";"Foncine-le-Haut";"Cinéma";150;1;"5 - Bourgs ruraux";46.656698;6.0275;"";"";""
"Cinéma";"Maison du Peuple 2";"39200";"Saint-Claude";"Cinéma";419;3;"2 - Centres urbains intermédiaires";46.38771502;5.86345988;"";"";""
"Cinéma";"Le Renoir";"40600";"Biscarrosse";"Cinéma";536;4;"3 - Petites villes";44.39654;-1.166475;"";"";""
"Cinéma";"Centre Culturel Leon";"40550";"Léon";"Cinéma";222;1;"5 - Bourgs ruraux";43.87500062;-1.30243449;"";"";""
"Cinéma";"L Estrade";"40630";"Sabres";"Cinéma";103;1;"6 - Rural à habitat dispersé";44.14873935;-0.73926522;"";"";""
"Cinéma";"Rex";"40150";"Soorts-Hossegor";"Cinéma";390;1;"3 - Petites villes";43.66477476;-1.39566345;"";"";""
"Cinéma";"Le Studio";"41130";"Selles-sur-Cher";"Cinéma";123;1;"5 - Bourgs ruraux";47.27421364;1.55534939;"";"";""
"Cinéma";"Espace Lumiere";"42510";"Balbigny";"Cinéma";258;1;"5 - Bourgs ruraux";45.81723443;4.18363426;"";"";""
"Cinéma";"Foyer";"42220";"Bourg-Argental";"Cinéma";213;1;"5 - Bourgs ruraux";45.29763682;4.55884919;"";"";""
"Cinéma";"Majestic";"42700";"Firminy";"Cinéma";837;2;"2 - Centres urbains intermédiaires";45.38960528;4.28993768;"";"";""
"Cinéma";"Le Foyer";"42440";"Noirétable";"Cinéma";181;1;"5 - Bourgs ruraux";45.81717399;3.76654451;"";"";""
"Cinéma";"Cinépilat";"42410";"Pélussin";"Cinéma";164;1;"5 - Bourgs ruraux";45.41907783;4.67446491;"";"";""
"Cinéma";"Le Colisee";"42330";"Saint-Galmier";"Cinéma";202;1;"4 - Ceintures urbaines";45.59120955;4.31666247;"";"";""
"Cinéma";"Salle Pinatel";"42530";"Saint-Genest-Lerpt";"Cinéma";204;1;"4 - Ceintures urbaines";45.44613408;4.33622171;"";"";""
"Cinéma";"Salle des Fetes";"42220";"Saint-Julien-Molin-Molette";"Cinéma";200;1;"5 - Bourgs ruraux";45.319731;4.616216;"";"";""
"Cinéma";"La Capitelle";"43120";"Monistrol-sur-Loire";"Cinéma";348;2;"3 - Petites villes";45.28304332;4.17741149;"";"";""
