"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"Super Via";"59600";50.28363072;3.96328053;"http://leguidedesfestivals.com/2019-festival-supervia-37763.html";"Pluridisciplinaire";"MAUBEUGE"
"Les festives de Meloisey";"21190";47.03444035;4.72026948;"http://www.festives-meloisey.fr/infos-pratiques/";"Pluridisciplinaire";"MELOISEY"
"Festival Les Zinzins de Lecture";"19250";45.55423158;2.14009184;"https://leszincorreziens.jimdo.com/";"Livre";"MEYMAC"
"Journées des arts vivants";"13590";43.49105225;5.50062812;"non renseigne";"Spectacle vivant";"MEYREUIL"
"Au Fil des Voix";"75018";48.89273507;2.34871193;"https://www.aufildesvoix.com/";"Musique";"PARIS"
"Festival Pic’arts";"02000";49.47600845;3.57360177;"https://www.picartsfestival.com/";"Musique";"MONAMPTEUIL"
"Lettres d automne";"82000";44.02225946;1.36408637;"https://www.confluences.org/lettresdautomne-2/";"Livre";"MONTAUBAN"
"Diversité";"25200";47.51551698;6.79148147;"http://www.centre-image.org/index.php/festival-diversite";"Cinéma";"MONTBELIARD"
"De l écrit à l écran";"26200";44.34190273;5.44998013;"www.delecritalecran.com";"Cinéma";"MONTELIMAR"
"Charivari jazz festival";"41800";47.76502696;0.85494819;"https://www.figureslibres.org/charivari-jazz-festival/";"Musique";"MONTOIRE-SUR-LE-LOIR"
"La Vallée S en Mêle";"24110";45.1310327;0.58097171;"http://www.lavallee.info/";"Spectacle vivant";"MONTREM"
"Festival des Murs à pêches";"28500";48.86331751;2.44816212;"https://federationmursapeches.jimdofree.com/le-festival/";"Spectacle vivant";"MONTREUIL"
"Les Rencontres Internationales de la Harpe en Ile-de-France";"77320";48.36509292;2.81172586;"rih-idf.jimdofree.com";"Musique";"MORET-LOING-ET-ORVANNE"
"Les Effrontés";"71390";46.75074534;4.67430662;"non renseigne";"Spectacle vivant";"MOROGES"
"La Festive";"23000";46.09975861;2.0630191;"https://lametive.fr/events/festive-2021/";"Arts visuels";"MOUTIER-D_AHUN"
"Festival de big band de Pertuis";"84120";43.68723575;5.5205248;"http://www.festival-jazz-bigband-pertuis.com";"Musique";"PERTUIS"
"La Tawa à Planfoy";"42660";45.38611556;4.43144222;"www.latawa.fr";"Musique";"PLANFOY"
"Épicurieux Festival";"54000";48.69019955;6.17588254;"non renseigne";"Musique";"NANCY"
"Le Bazardier";"54000";48.69019955;6.17588254;"www.lebazardier.com";"Musique";"NANCY"
"Chantons sous Les Pins";"40460";43.79802527;-0.94052689;"http://www.chantonssouslespins.fr/";"Musique";"PONTONX-SUR-L_ADOUR"
"Mômes en scène";"67110";48.96381571;7.63986093;"www.reseau-animation.com";"Spectacle vivant";"NIEDERBRONN-LES-BAINS"
"À L auberge de La Grand route";"86340";46.47523813;0.36777654;"http://sites.google.com/site/arantelle86/";"Spectacle vivant";"ROCHES-PREMARIE-ANDILLE"
"MAD - Multiple Art Days";"93230";48.8852119;2.43767884;"www.multipleartdays.fr";"Arts visuels";"ROMAINVILLE"
"Roubaix Comics";"59100";50.68797748;3.18258435;"lillecomicsfestival.com";"Livre";"ROUBAIX"
"Musicalta";"68250";47.96884224;7.27338874;"www.musicalta.com";"Musique";"ROUFFACH"
"Le mai de la calligraphie";"59230";50.4401001;3.44460708;"https://www.saint-amand-les-eaux.fr/";"Arts visuels";"SAINT-AMAND-LES-EAUX"
"Salon du livres et des métiers du livre";"30500";44.25245837;4.19418573;"https://www.lafenetre-st-ambroix.com/";"Livre";"SAINT-AMBROIX"
"Festival du film d’amour de Saint-Amour";"39160";46.43754714;5.33561825;"https://www.facebook.com/Festivaldufilmdamour";"Cinéma";"SAINT-AMOUR"
"Musique sacrée à Saint-Antoine-l Abbaye";"38780";45.17223536;5.21609051;"https://musiquesacree-saintantoine.blogspot.com/";"Musique";"SAINT-ANTOINE-L_ABBAYE"
"360 degrés";"22000";48.51498061;-2.76154553;"non renseigne";"Spectacle vivant";"SAINT-BRIEUC"
"Art Rock";"22000";48.51498061;-2.76154553;"https://www.artrock.org/";"Musique";"SAINT-BRIEUC"
"Just Do paint";"22000";48.51498061;-2.76154553;"https://www.just-do-paint.com/";"Musique";"SAINT-BRIEUC"
"Les Nocturnes";"22000";48.51498061;-2.76154553;"non renseigne";"Spectacle vivant";"SAINT-BRIEUC"
"Festi-jazz";"06530";43.65942591;6.80329376;"www.festi-jazz.org";"Musique";"SAINT-CEZAIRE-SUR-SIAGNE"
"Bulles en Val";"45560";47.88110572;1.97259378;"www.facebook.com/bullesenval";"Livre";"SAINT-DENIS-EN-VAL"
"Festival de Piano en Saintonge";"17100";45.74223002;-0.64962304;"http://pianoensaintonge.com";"Musique";"SAINTES"
"Les musicales de Saint-Genou";"36500";46.91179168;1.35046506;"http://www.saintgenou.fr/les-musicales-de-saint-genou/";"Musique";"SAINT-GENOU"
"Nuits de la BD";"07240";44.90833621;4.56164083;"https://www.planete-ardechoise.com/litterature/ardeche/1692/les-nuits-de-la-bd-%C3%A0-saint-jean-chambre-2020.html";"Livre";"SAINT-JEAN-CHAMBRE"
