"TYPE_DOMAINE";"SOUS_TYPE";"NOM";"URL";"LATTI";"LONGI";"JAUGE";"COMMUNE";"CP";"GCD";"ORGANISME";"Public"
"Theatre";"Théâtre";"Théâtre des Béliers parisiens";"";48.89363866;2.34425881;190;"Paris";"75018";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Allegro";"";45.82714393;4.95728188;974;"Beynost";"01700";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Mail - Scène culturelle";"";49.38599878;3.32766455;652;"Acy";"02200";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Théâtre Les Quinconces";"";44.65597843;4.36660746;550;"Vallées-d_Antraigues-Asperjoc";"07530";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Casino";"";42.939389;1.851954;510;"Bélesta";"09300";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Théâtre municipal Armand";"";43.64109556;5.09457987;420;"Salon-de-Provence";"13300";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Forum";"";48.89645021;-0.19756319;548;"Aubigny";"14700";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Renaissance";"";49.18527672;-0.30980547;433;"Mondeville";"14120";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Association CREA-Salle multiculturelle de Breuillet";"";45.69157186;-1.06145064;300;"Breuillet";"17920";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Espace culturel Carré Amelot";"";46.16056396;-1.1491375;210;"La_Rochelle";"17000";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre du Champ au Roy";"";48.56128279;-3.14809682;250;"Guingamp";"22200";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Centre culturel Quai des rêves";"";48.47706191;-2.50016702;454;"Lamballe-Armor";"22400";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Palais des Congrès et de la Culture";"";48.182783;-2.753466;1000;"Loudéac";"22600";"3 - Petites villes";"";""
"Theatre";"Théâtre";"Centre culturel de Sarlat";"";44.89323717;1.2146215;590;"Carsac-Aillac";"24200";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Centre culturel L Imagiscène";"";45.12659754;1.30165521;145;"Terrasson-Lavilledieu";"24120";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Auditorium Michel Petrucciani";"";44.55661801;4.74776009;434;"Ancône";"26200";"4 - Ceintures urbaines";"";""
"Theatre";"Théâtre";"Romans Scènes";"";45.04405203;5.05132426;500;"Romans-sur-Isère";"26100";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Théâtre de Chartres";"";48.4431851;1.4875179;660;"Chartres";"28000";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Centre culturel Arthémuse";"";48.09907767;-3.99797349;560;"Briec";"29510";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Centre culturel de Rosporden";"";47.95696348;-3.82657666;419;"Melgven";"29140";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Pôle Culturel Le Roudour";"";48.57233616;-3.8475181;299;"Morlaix";"29600";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Service culturel de Bastia-Théâtre municipal de Bastia - Grande Salle";"";42.681012;9.439365;813;"Bastia";"20600";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Théâtre Jules-Julien";"";43.57414785;1.45367122;345;"Toulouse";"31000";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Direction de l Animation Socioculturelle de la Mairie de Toulouse-Espace JOB";"";43.61651391;1.40785732;;"Toulouse";"31000";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Escale-Salle de spectacle";"";43.58292784;1.34546335;538;"Tournefeuille";"31170";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Le Liburnia";"";44.92109861;-0.24035458;;"Arveyres";"33500";"3 - Petites villes";"";""
"Theatre";"Théâtre";"Dôme";"";44.79254263;-0.59188748;200;"Talence";"33400";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Centre culturel Fougères Agglomération";"";48.34348792;-1.19449785;1100;"Fougères";"35300";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Théâtre du Vieux Saint Etienne - Association Ay-Roop";"";48.11519502;-1.68397068;206;"Rennes";"35000";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtres de Saint-Malo-Centre culturel Salvador Allende";"";48.63414215;-1.99013477;120;"Saint-Malo";"35400";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Théâtres de Saint-Malo";"";48.63744699;-2.01712013;801;"Saint-Malo";"35400";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Espace culturel Jean Cocteau-Salle de spectacle";"";47.27705752;0.64419856;;"Artannes-sur-Indre";"37260";"3 - Petites villes";"";""
"Theatre";"Théâtre";"Cinéma-Théâtre de La Mure";"";44.90241451;5.78606563;457;"Cognet";"38350";"7 - Rural à habitat très dispersé";"";""
"Theatre";"Théâtre";"Théâtre municipal de Roanne";"";46.03428571;4.07357085;570;"Mably";"42300";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Théâtre de Verre";"";47.71837341;-1.37343319;500;"Châteaubriant";"44110";"3 - Petites villes";"";""
"Theatre";"Théâtre";"Embarcadère-L Embarcadère";"";47.189718;-1.485286;494;"Saint-Sébastien-sur-Loire";"44230";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Georges Leygues";"";44.40911461;0.70623369;748;"Bias";"47300";"4 - Ceintures urbaines";"";""
"Theatre";"Théâtre";"Centre culturel Georges Brassens";"";47.49314489;-0.58922974;272;"Avrillé";"49240";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Le Dôme-Salle de spectacle";"";47.26106024;-0.07674406;430;"Bellevigne-les-Châteaux";"49400";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Théâtre Saint-Louis";"";47.05879678;-0.88456009;850;"Cholet";"49300";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Théâtre de l Hôtel de Ville-La Cressonnière";"";47.48092199;-0.48739198;;"Le_Plessis-Grammoire";"49124";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Théâtre de l Hôtel de Ville";"";47.46888749;-0.495831;354;"Le_Plessis-Grammoire";"49124";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Théâtre de Saint-Lô-Théâtre Roger Ferdinand";"";49.11418773;-1.09078978;408;"Baudre";"50000";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Salmanazar-Théâtre Gabrielle Dorziat";"";49.04530326;3.95819515;480;"Epernay";"51200";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Service culturel de Langres-Théâtre Michel-Humbert";"";47.86017678;5.33382943;256;"Bourg";"52200";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Kiosque-Salle polyvalente";"";48.2968839;-0.61116269;300;"Châtillon-sur-Colmont";"53100";"7 - Rural à habitat très dispersé";"";""
"Theatre";"Théâtre";"Théâtre municipal d Anzin";"";50.37143069;3.50292569;1165;"Anzin";"59410";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Massenet";"";50.63019969;3.08818501;108;"Lille";"59260";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre municipal Raymond devos";"";50.72077255;3.15351001;850;"Tourcoing";"59200";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtres de Compiègne";"";49.40698769;2.80854595;1080;"Compiègne";"60200";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Quai des Arts";"";48.73580508;-0.02289883;809;"Argentan";"61200";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Service culturel de Calais-Centre culturel Gérard Philippe";"";50.94950327;1.89000658;250;"Calais";"62100";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Le Colisée";"";50.42167638;2.81748132;628;"Eleu-dit-Leauwette";"62300";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Centre culturel Maison du Savoir";"";43.07985487;0.48123122;320;"Anères";"65150";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Espace Athic";"";48.46222163;7.47906141;158;"Bernardswiller";"67210";"4 - Ceintures urbaines";"";""
"Theatre";"Théâtre";"Illiade";"";48.52850534;7.70695321;626;"Illkirch-Graffenstaden";"67400";"1 - Grands centres urbains";"";""
