"CP";"AMPLITUDE_HORAIRE";"NOM";"COMMUNE";"POPULATION";"SOUS_TYPE";"Type";"Url";"GCD";"NB_BENEVOLE";"NB_SALARIE";"SURFACE";"LATTI";"LONGI"
"71370";;"Bibliothèque Municipale";"L Abergement-Sainte-Colombe";1263;"Bibliothèque municipale";"Bibliotheque";"";"";8;0;60;46.750618;5.034991
"71110";;"Bibliothèque Municipale";"Artaix";346;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;65;46.246332;4.012043
"71110";;"Bibliothèque Municipale";"Chambilly";517;"Bibliothèque municipale";"Bibliotheque";"";"";3;0;60;46.277227;4.01132
"59530";;"ANIMA-LIVRES JOLIMETZ";"Jolimetz";870;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;45;50.227834;3.677354
"50480";;"Bibliothèque de Chef-du-Pont";"Sainte-Mère-Église";3127;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;17;49.423262;-1.293559
"58110";;"Bibliothèque du Lavoir";"Achun";160;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;15;47.124913;3.679621
"65300";;"Point Lecture Lous Aynats";"Campistrous";320;"Bibliothèque associative";"Bibliotheque";"";"";3;0;42;43.152122;0.376201
"65120";;"Bibliothèque du BAM";"Esquièze-Sère";418;"Bibliothèque associative";"Bibliotheque";"";"";6;0;50;42.87495;-0.002676
"45380";;"Bibliothèque Municipale";"Chaingy";3991;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;185;47.885087;1.774854
"72340";;"BIBLIOTHÈQUE";"Lhomme";917;"Bibliothèque municipale";"Bibliotheque";"";"";10;0;35;47.742848;0.557402
"45600";;"Bibliothèque - Viglain";"Viglain";881;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;0;50;47.728563;2.30218
"45120";;"Bibliothèque Municipale";"Cepoy";2472;"Bibliothèque municipale";"Bibliotheque";"";"";3;0;236.2;48.04416;2.740298
"71350";;"Bibliothèque relais";"Saint-Loup-Géanges";1697;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;236.2;46.956815;4.911187
"27120";;"Bibliothèque";"Ménilles";1779;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;1;60;49.034394;1.365502
"59219";;"Bibliothèque intercommunale Etroeungt";"Étrœungt";1322;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;60;50.058366;3.927846
"33141";;"Bibliothèque de Villegouge";"Villegouge";1274;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;60;44.961099;-0.319019
"48100";;"Bibliothèque René Grousset (Le Monastier)";"Bourgs sur Colagne";2140;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;108;44.523235;3.256294
"59242";;"Mediathèque Entre les lignes de Templeuve-en-Pévèle";"Templeuve-en-Pévèle";6419;"Bibliothèque municipale";"Bibliotheque";"";"";16;3;600;50.525349;3.175417
"59297";;"Mediathèque Paul Prévot de Villers-Guislain";"Villers-Guislain";695;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;65;50.040253;3.155467
"21310";;"Bibliothèque St-Exupéry";"Arceau";985;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;20;47.381032;5.190312
"27530";;"Ezymédi@";"Ézy-sur-Eure";3757;"Bibliothèque municipale";"Bibliotheque";"";"";9;2;298;48.867662;1.418557
"27630";;"La Torn@thèque";"Vexin-sur-Epte";6088;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;1;140;49.185253;1.54842
