"Type";"NOM";"GCD";"CP";"ORGANISME";"Public";"LATTI";"LONGI";"SOUS_TYPE";"COMMUNE"
"Archives";"Commune de La Possession - Service Documentation-Archives";"2 - Centres urbains intermédiaires";"97419";"";"";-20.9268618;55.33686425;"Archives";"La_Possession"
"Archives";"Commune de Saint-Pierre - Service Archives";"2 - Centres urbains intermédiaires";"97410";"";"";-21.33415237;55.47973217;"Archives";"Saint-Pierre"
"Archives";"Commune d Ambérieu-en-Bugey - Service des Archives";"2 - Centres urbains intermédiaires";"01500";"";"";45.95810986;5.3585897;"Archives";"Ambérieu-en-Bugey"
"Archives";"Commune de Bourg-En-Bresse - Service des Archives";"2 - Centres urbains intermédiaires";"01000";"";"";46.20494053;5.22519056;"Archives";"Bourg-en-Bresse"
"Archives";"Commune d Oyonnax - Archives municipales";"2 - Centres urbains intermédiaires";"01100";"";"";46.26680216;5.6500247;"Archives";"Oyonnax"
"Archives";"Centre de gestion de la fonction publique territoriale de L aisne - Mission Archives";"2 - Centres urbains intermédiaires";"02300";"";"";49.62526445;3.22191287;"Archives";"Chauny"
"Archives";"Archives départementales des Alpes-de-Haute-Provence";"3 - Petites villes";"04000";"";"";44.09038738;6.23865725;"Archives";"Digne-les-Bains"
"Archives";"Archives départementales des Hautes-Alpes";"2 - Centres urbains intermédiaires";"05000";"";"";44.56114538;6.09595234;"Archives";"Gap"
"Archives";"Commune de Menton - Service Archives-Documentation";"2 - Centres urbains intermédiaires";"06500";"";"";43.77539289;7.50250969;"Archives";"Menton"
"Archives";"Commune de Mougins - Service Archives-Documentation";"4 - Ceintures urbaines";"06250";"";"";43.603018;6.990786;"Archives";"Mougins"
"Archives";"Archives départementales de L ardèche";"3 - Petites villes";"07000";"";"";44.73218674;4.59591883;"Archives";"Privas"
"Archives";"Archives départementales de L aube";"1 - Grands centres urbains";"10000";"";"";48.31477013;4.07473891;"Archives";"Troyes"
"Archives";"Carcassonne Agglomération - Service des Archives";"2 - Centres urbains intermédiaires";"11000";"";"";43.21309849;2.35790189;"Archives";"Carcassonne"
"Archives";"Archives départementales de L aude";"2 - Centres urbains intermédiaires";"11000";"";"";43.22817056;2.34871163;"Archives";"Carcassonne"
"Archives";"Commune D aix-En-Provence - Archives municipales";"1 - Grands centres urbains";"13080";"";"";43.5305869;5.44615995;"Archives";"Aix-en-Provence"
"Archives";"Commune de Berre-L etang - Archives municipales";"2 - Centres urbains intermédiaires";"13130";"";"";43.518682;5.192607;"Archives";"Berre-l_Etang"
"Archives";"Commune de Martigues - Archives communales";"1 - Grands centres urbains";"13500";"";"";43.40570356;5.04820393;"Archives";"Martigues"
"Archives";"Commune de Saint-Chamas - Archives municipales";"4 - Ceintures urbaines";"13250";"";"";43.552038;5.034803;"Archives";"Saint-Chamas"
"Archives";"Commune de Tarascon - Archives municipales";"2 - Centres urbains intermédiaires";"13150";"";"";43.804548;4.657303;"Archives";"Tarascon"
"Archives";"Commune de Velaux - Service des Archives";"4 - Ceintures urbaines";"13880";"";"";43.52969969;5.25541764;"Archives";"Velaux"
"Archives";"Commune D aurillac - Service Archives Et Documentation";"2 - Centres urbains intermédiaires";"15000";"";"";44.93091456;2.44475998;"Archives";"Aurillac"
"Archives";"Communauté D agglomération du Grand Angoulême - Service des Archives";"2 - Centres urbains intermédiaires";"16000";"";"";45.65936732;0.16089265;"Archives";"Angoulême"
"Archives";"Communauté D agglomération de La Rochelle - Archives Communautaires de La Rochelle";"1 - Grands centres urbains";"17000";"";"";46.15983109;-1.15000674;"Archives";"La_Rochelle"
"Archives";"Commune de Bourges - Archives communales Et Communautaires";"1 - Grands centres urbains";"18000";"";"";47.10223105;2.41523167;"Archives";"Bourges"
"Archives";"Commune D argentat - Archives municipales";"5 - Bourgs ruraux";"19320";"";"";45.09333775;1.93536839;"Archives";"Argentat-sur-Dordogne"
"Archives";"Commune de Tulle - Service des Archives";"3 - Petites villes";"19000";"";"";45.26419418;1.77001037;"Archives";"Tulle"
"Archives";"Commune de Dijon - Archives municipales- Les Archives Historiques";"1 - Grands centres urbains";"21000";"";"";47.32146982;5.04039497;"Archives";"Dijon"
"Archives";"Archives départementales de Côte D or";"1 - Grands centres urbains";"21000";"";"";47.322289;5.0439803;"Archives";"Dijon"
"Archives";"Conseil régional de Bourgogne-Franche-Comté - Site de Dijon - Cellule Archives";"1 - Grands centres urbains";"21000";"";"";47.34620715;5.07097465;"Archives";"Dijon"
"Archives";"Commune de Guéret - Archives municipales";"2 - Centres urbains intermédiaires";"23000";"";"";46.16932611;1.8715441;"Archives";"Guéret"
"Archives";"Archives départementales de La Dordogne";"2 - Centres urbains intermédiaires";"24000";"";"";45.18154448;0.71874811;"Archives";"Périgueux"
"Archives";"Centre de gestion de la fonction publique territoriale de La Dordogne - Service des Archives";"2 - Centres urbains intermédiaires";"24000";"";"";45.19751;0.677035;"Archives";"Périgueux"
"Archives";"Conseil régional de Bourgogne-Franche-Comté - Site de Besançon - Service des Archives";"1 - Grands centres urbains";"25000";"";"";47.24390397;6.02699872;"Archives";"Besançon"
"Archives";"Commune de Bourg-Lès-Valence - Archives municipales";"1 - Grands centres urbains";"26500";"";"";44.94723876;4.89371783;"Archives";"Bourg-lès-Valence"
"Archives";"Commune de Brest Métropole - Archives municipales Et Communautaires";"1 - Grands centres urbains";"29200";"";"";48.39806634;-4.50649443;"Archives";"Brest"
"Archives";"Commune de Concarneau - Service Archives-Patrimoine";"3 - Petites villes";"29900";"";"";47.87018251;-3.91942344;"Archives";"Concarneau"
"Archives";"Commune de Quimper - Archives municipales Et Communautaires";"1 - Grands centres urbains";"29000";"";"";47.99674263;-4.10154721;"Archives";"Quimper"
"Archives";"Commune de Blagnac - Service Documentation-Archives";"1 - Grands centres urbains";"31700";"";"";43.63478799;1.39769412;"Archives";"Blagnac"
"Archives";"Conseil régional D occitanie - Site de Toulouse - Unité Archives";"1 - Grands centres urbains";"31000";"";"";43.58886417;1.4406929;"Archives";"Toulouse"
"Archives";"Commune de Lormont - Archives municipales";"1 - Grands centres urbains";"33310";"";"";44.876511;-0.522456;"Archives";"Lormont"
"Archives";"Centre des Archives Contemporaines";"1 - Grands centres urbains";"37170";"";"";47.3332777;0.69817842;"Archives";"Chambray-lès-Tours"
"Archives";"Commune de Tours - Archives municipales - Section Contemporaine";"1 - Grands centres urbains";"37000";"";"";47.39077389;0.68933071;"Archives";"Tours"
"Archives";"Département D indre-Et-Loire";"1 - Grands centres urbains";"37000";"";"";47.39389753;0.69463942;"Archives";"Tours"
"Archives";"Communauté de Communes Le Grésivaudan - Cellule Archives-Documentation";"2 - Centres urbains intermédiaires";"38920";"";"";45.27546675;5.89726566;"Archives";"Crolles"
"Archives";"Commune de Crolles - Service Documentation Archives Et Patrimoine";"2 - Centres urbains intermédiaires";"38920";"";"";45.28371712;5.88136722;"Archives";"Crolles"
"Archives";"Commune de Moirans - Service Documentation-Archives";"4 - Ceintures urbaines";"38430";"";"";45.32560602;5.56298031;"Archives";"Moirans"
"Archives";"Commune de Thiais - Service Archives-Documentation";"1 - Grands centres urbains";"94320";"";"";48.76426415;2.39104325;"Archives";"Thiais"
"Archives";"Commune de Valenton - Pôle Documentation-Archives";"1 - Grands centres urbains";"94460";"";"";48.74396441;2.46846325;"Archives";"Valenton"
"Archives";"Cour D appel de Paris - Centre de Préarchivage";"1 - Grands centres urbains";"94400";"";"";48.776811;2.40616;"Archives";"Vitry-sur-Seine"
"Archives";"Commune de Saint-Gratien - Service Archives-Documentation";"1 - Grands centres urbains";"95210";"";"";48.97062998;2.28340804;"Archives";"Saint-Gratien"
"Archives";"Conseil régional de La Guadeloupe - Service des Archives";"2 - Centres urbains intermédiaires";"97100";"";"";15.993897;-61.71855;"Archives";"Basse-Terre"
"Archives";"Centre de gestion de la fonction publique territoriale de L isère - Service Archives Itinérantes";"1 - Grands centres urbains";"38400";"";"";45.18795826;5.76833441;"Archives";"Saint-Martin-d_Hères"
"Archives";"Communauté D agglomération Porte de L isère - Service Documentation-Archives";"2 - Centres urbains intermédiaires";"38090";"";"";45.610717;5.158511;"Archives";"Villefontaine"
"Archives";"Commune de Saint-Claude - Service des Archives";"2 - Centres urbains intermédiaires";"39200";"";"";46.38914129;5.86443315;"Archives";"Saint-Claude"
"Archives";"Archives départementales des Landes";"2 - Centres urbains intermédiaires";"40000";"";"";43.89581963;-0.49312639;"Archives";"Mont-de-Marsan"
"Archives";"Commune du Chambon-Feugerolles - Archives municipales";"2 - Centres urbains intermédiaires";"42500";"";"";45.39585213;4.32350957;"Archives";"Le_Chambon-Feugerolles"
"Archives";"Commune de Firminy - Archives municipales";"2 - Centres urbains intermédiaires";"42700";"";"";45.38916703;4.28741939;"Archives";"Firminy"
"Archives";"Antenne de Montbrison";"2 - Centres urbains intermédiaires";"42600";"";"";45.60550263;4.06679306;"Archives";"Montbrison"
"Archives";"Communauté D agglomération Loire Forez - Service Archives-Documentation";"2 - Centres urbains intermédiaires";"42600";"";"";45.60856761;4.06185222;"Archives";"Montbrison"
"Archives";"Centre de gestion de la fonction publique territoriale de Loire-Atlantique - Service Archives";"1 - Grands centres urbains";"44300";"";"";47.2111515;-1.52948897;"Archives";"Nantes"
"Archives";"Commune de Rezé - Archives municipales";"1 - Grands centres urbains";"44400";"";"";47.19188722;-1.5689203;"Archives";"Rezé"
"Archives";"Commune de Meung-Sur-Loire - Archives municipales";"3 - Petites villes";"45130";"";"";47.82841042;1.69792853;"Archives";"Meung-sur-Loire"
"Archives";"Archives départementales du Loiret - Site des Archives Historiques Et Généalogiques";"1 - Grands centres urbains";"45100";"";"";47.90248255;1.90215585;"Archives";"Orléans"
"Archives";"Centre des Archives Contemporaines Et de L état Civil";"2 - Centres urbains intermédiaires";"47000";"";"";44.19125793;0.61366202;"Archives";"Agen"
"Archives";"Commune de Saumur - Archives municipales";"3 - Petites villes";"49400";"";"";47.2629799;-0.0801526;"Archives";"Saumur"
"Archives";"Centre de gestion de la fonction publique territoriale de La Manche - Service D aide A L archivage";"2 - Centres urbains intermédiaires";"50000";"";"";49.10012848;-1.08337087;"Archives";"Saint-Lô"
"Archives";"Commune de Chaumont - Service Documentation-Archives";"2 - Centres urbains intermédiaires";"52000";"";"";48.11044431;5.12872654;"Archives";"Chaumont"
"Archives";"Archives départementales de La Haute-Marne";"4 - Ceintures urbaines";"52000";"";"";48.10342315;5.16070675;"Archives";"Chamarandes-Choignes"
"Archives";"Ville Et Communauté de Communes du Pays de Château-Gontier - Service des Archives";"2 - Centres urbains intermédiaires";"53200";"";"";47.82631509;-0.7069176;"Archives";"Château-Gontier-sur-Mayenne"
"Archives";"Archives municipales Et Communautaires D evron-Coëvrons";"3 - Petites villes";"53600";"";"";48.15639067;-0.40084669;"Archives";"Evron"
"Archives";"Centre de gestion de la fonction publique territoriale de La Meuse";"3 - Petites villes";"55200";"";"";48.75852849;5.59547037;"Archives";"Commercy"
"Archives";"Commune de Lanester - Archives municipales";"1 - Grands centres urbains";"56600";"";"";47.76355904;-3.34691217;"Archives";"Lanester"
"Archives";"Lorient Agglomération - Service Archives-Documentation";"1 - Grands centres urbains";"56100";"";"";47.743926;-3.351726;"Archives";"Lorient"
"Archives";"Commune de Sarrebourg - Archives municipales";"2 - Centres urbains intermédiaires";"57400";"";"";48.73501225;7.05485726;"Archives";"Sarrebourg"
"Archives";"Commune de Thionville - Archives communales";"2 - Centres urbains intermédiaires";"57100";"";"";49.35740483;6.16522425;"Archives";"Thionville"
