NOM,CP,DOMAINE_SOUS_TYPE,COMMUNE,numdep,nomdept,nomReg,codeReg,ENTRE_GRATUIT,ENTRE_PAYANT,ENTRE_TOTAL
muséum d histoire naturelle Philadelphe Thomas,81600,Archéologie,GAILLAC,81,TARN,Occitanie,76,1104.0,1516.0,2620.0
musée des Beaux-Arts,81600,Art,GAILLAC,81,TARN,Occitanie,76,1229.0,1320.0,2549.0
musée du Sel,81430,Archéologie,MARSAL,81,TARN,Occitanie,76,3255.0,580.0,3835.0
musée Charles Portal - histoire et patrimoine,81170,Archéologie,CORDES-SUR-CIEL,81,TARN,Occitanie,76,256.0,1202.0,1458.0
musée du textile,81270,Arts décoratif,LABASTIDE-ROUAIROUX,81,TARN,Occitanie,76,2304.0,0.0,2304.0
musée Emile Jean,94350,Histoire,VILLIERS-SUR-MARNE,94,VAL-DE-MARNE,Île-de-France,11,,,
Tour aux figures - Département des Hauts-de-Seine,92130,Sculpture,ISSY-LES-MOULINEAUX,92,HAUTS-DE-SEINE,Île-de-France,11,,,
ARTE,92130,Art,ISSY-LES-MOULINEAUX,92,HAUTS-DE-SEINE,Île-de-France,11,,,
France Médias Monde - RFI,92130,Art,ISSY-LES-MOULINEAUX,92,HAUTS-DE-SEINE,Île-de-France,11,,,
musée français de la carte à jouer et galerie d histoire de la ville,92130,Arts décoratif,ISSY-LES-MOULINEAUX,92,HAUTS-DE-SEINE,Île-de-France,11,6758.0,3541.0,10299.0
musée Marc Chagall,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,29681.0,31017.0,60698.0
musée d art naïf Anatole Jakovsky,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,2640.0,1079.0,3719.0
musée Masséna,06000,Arts décoratif,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,48321.0,31463.0,79784.0
Espace culture Lympia,06000,Musées,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,,,
Musée d Art Moderne et d Art Contemporain de Nice (MAMAC),06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,,,
Musée Matisse Nice,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,,,
Cinémathèque de Saint-Étienne,06000,Histoire,SAINT-ÉTIENNE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,,,
Musée national Marc Chagall,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,,,
musée du Vieux logis,06000,Arts décoratif,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,186.0,285.0,471.0
muséum d histoire naturelle,06000,Sciences de la nature,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,2446.0,871.0,3317.0
musée d art moderne et d art contemporain,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,15715.0,69380.0,85095.0
musée Matisse,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,30521.0,31892.0,62413.0
musée national du sport,06000,Histoire,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,9371.0,8620.0,17991.0
musée du palais Lascaris,06000,Arts décoratif,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,13304.0,9380.0,22684.0
musée archéologique de Cimiez,06000,Archéologie,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,10124.0,5404.0,15528.0
musée des beaux-arts Jules Chéret,06000,Arts décoratif,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,11214.0,3671.0,14885.0
musée départemental des arts asiatiques,06000,Art,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,25857.0,0.0,25857.0
musée de paléontologie de Terra Amata,06000,Archéologie,NICE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,4739.0,4023.0,8762.0
musée d histoire et d archéologie,62440,Archéologie,HARNES,62,PAS-DE-CALAIS,Hauts-de-France,32,829.0,0.0,829.0
Musée de Cluny,75005,Musées,PARIS,75,PARIS,Île-de-France,11,,,
Ecole normale supérieure,75005,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Espace des sciences Pierre-Gilles de Gennes,75005,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Muséum national d Histoire naturelle,75005,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Des Livres à Lire et à Entendre,75005,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Bibliothèque interuniversitaire de la Sorbonne,75005,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
galerie d entomologie (muséum national d histoire naturelle),75005,,PARIS_(5EME),75,PARIS,Île-de-France,11,,,
galerie de botanique (muséum national d histoire naturelle),75005,,PARIS_(5EME),75,PARIS,Île-de-France,11,,,
galerie de minéralogie et de géologie (muséum national d histoire naturelle),75005,,PARIS_(5EME),75,PARIS,Île-de-France,11,,,
Muséum national d’histoire naturelle,75005,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,95603.0,136443.0,232046.0
musée de l Assistance Publique - Hôpitaux de Paris,75005,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,587.0,0.0,587.0
musée du service de santé des Armées du Val-de-Grâce,75005,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,3291.0,2077.0,5368.0
musée du Moyen Age - thermes et hôtel de Cluny,75005,Archéologie,PARIS,75,PARIS,Île-de-France,11,28100.0,23346.0,51446.0
musée de l Institut du Monde Arabe,75005,Art,PARIS,75,PARIS,Île-de-France,11,65202.0,93736.0,158938.0
musée archéologique départemental,53160,Histoire,JUBLAINS,53,MAYENNE,Pays de la Loire,52,2028.0,9796.0,11824.0
musée d art contemporain du Val-de-Marne,94400,Art,VITRY-SUR-SEINE,94,VAL-DE-MARNE,Île-de-France,11,21917.0,3011.0,24928.0
musée paléontologique,14640,Sciences de la nature,VILLERS-SUR-MER,14,CALVADOS,Normandie,28,4073.0,43881.0,47954.0
musée Daniel Vannier,45190,Arts décoratif,BEAUGENCY,45,LOIRET,Centre-Val de Loire,24,3466.0,1593.0,5059.0
musée Frank A. Perret - mémorial de la catastrophe de 1902,97250,Histoire,SAINT-PIERRE_DE_LA_MARTINIQUE,972,MARTINIQUE,Martinique,2,1770.0,14862.0,16632.0
Ecomusée du Pays de la Cerise,36230,Arts décoratif,FOUGEROLLES,36,INDRE,Centre-Val de Loire,24,2122.0,4451.0,6573.0
musée d art et d histoire,92190,Histoire,MEUDON,92,HAUTS-DE-SEINE,Île-de-France,11,19077.0,0.0,19077.0
musée Henri Martin,46000,Archéologie,CAHORS,46,LOT,Occitanie,76,4205.0,2481.0,6686.0
écomusée de l’Approuague-Kaw,97390,Ethnologie,REGINA,973,GUYANE,Guyane,3,,,
musée René Baubérot,87290,Archéologie,CHATEAUPONSAC,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,167.0,785.0,952.0
Muséum de Bordeaux - sciences et nature,33000,Sciences de la nature,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,,,
Fonds régional d art contemporain - Nouvelle-Aquitaine,33000,Arts décoratif,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,,,
Région Nouvelle-Aquitaine,33000,Histoire,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,,,
Musée des Beaux-Arts de Bordeaux,33000,Musées,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,,,
musée des beaux-arts,33000,Art,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,27091.0,21975.0,49066.0
muséum d Histoire naturelle,33000,Sciences de la nature,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,55019.0,38092.0,93111.0
centre national Jean Moulin,33000,Histoire,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,43741.0,0.0,43741.0
musée d Aquitaine,33000,Archéologie,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,34244.0,27469.0,61713.0
musée des arts décoratifs et du design,33000,Arts décoratif,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,19485.0,8945.0,28430.0
CAPC-musée d Art Contemporain,33000,Art,BORDEAUX,33,GIRONDE,Nouvelle-Aquitaine,75,25880.0,19779.0,45659.0
musée du vieil Argenteuil,95100,Archéologie,ARGENTEUIL,95,VAL-D OISE,Île-de-France,11,2697.0,0.0,2697.0
musée de la Batellerie,78700,Histoire,CONFLANS-SAINTE-HONORINE,78,YVELINES,Île-de-France,11,3718.0,2525.0,6243.0
