CP,Type,NOM,COMMUNE,FAUTEUIL,Public,ECRAN,SOUS_TYPE_THEMATIQUE,GCD,LATTI,LONGI,codeReg,nomReg,numdep,nomdept
79200,Cinéma,Cinema Familial Le Foyer,PARTHENAY,356.0,,2.0,Cinéma,3 - Petites villes,46.64451961,-0.24527727,75,Nouvelle-Aquitaine,79,DEUX-SEVRES
80300,Cinéma,Le Casino,ALBERT,360.0,,2.0,Cinéma,2 - Centres urbains intermédiaires,50.0048018,2.64810914,32,Hauts-de-France,80,SOMME
80000,Cinéma,Gaumont,AMIENS,2682.0,,12.0,Cinéma,1 - Grands centres urbains,49.88978341,2.30644297,32,Hauts-de-France,80,SOMME
80120,Cinéma,Vox,FORT-MAHON-PLAGE,267.0,,1.0,Cinéma,5 - Bourgs ruraux,50.33972117,1.56921796,32,Hauts-de-France,80,SOMME
80500,Cinéma,Hollywood Avenue,MONTDIDIER,178.0,,1.0,Cinéma,3 - Petites villes,49.64754416,2.57087535,32,Hauts-de-France,80,SOMME
81290,Cinéma,Le Rond Point,LABRUGUIÈRE,167.0,,1.0,Cinéma,5 - Bourgs ruraux,43.53846502,2.26332036,76,Occitanie,81,TARN
81800,Cinéma,La Halle,RABASTENS,99.0,,1.0,Cinéma,3 - Petites villes,43.82261321,1.72533201,76,Occitanie,81,TARN
81370,Cinéma,Le Sejefy S,SAINT-SULPICE-LA-POINTE,167.0,,1.0,Cinéma,3 - Petites villes,43.77189233,1.68845061,76,Occitanie,81,TARN
82710,Cinéma,La Muse,BRESSOLS,266.0,,1.0,Cinéma,6 - Rural à habitat dispersé,43.96452657,1.34084087,76,Occitanie,82,TARN-ET-GARONNE
83150,Cinéma,Camera,BANDOL,275.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,43.137499,5.752051,93,Provence-Alpes-Côte d Azur,83,VAR
83890,Cinéma,Le Marilyn,BESSE-SUR-ISSOLE,84.0,,1.0,Cinéma,5 - Bourgs ruraux,43.34970218,6.17819276,93,Provence-Alpes-Côte d Azur,83,VAR
83170,Cinéma,La Boite A Images,BRIGNOLES,253.0,,2.0,Cinéma,2 - Centres urbains intermédiaires,43.40701445,6.06404184,93,Provence-Alpes-Côte d Azur,83,VAR
83310,Cinéma,Raimu,COGOLIN,130.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,43.25106382,6.53564916,93,Provence-Alpes-Côte d Azur,83,VAR
83340,Cinéma,Le Cinema,LE_LUC,100.0,,1.0,Cinéma,3 - Petites villes,43.39560799,6.31105907,93,Provence-Alpes-Côte d Azur,83,VAR
83530,Cinéma,Cinemas Lido 1,SAINT-RAPHAËL,1305.0,,7.0,Cinéma,1 - Grands centres urbains,43.42428605,6.76906101,93,Provence-Alpes-Côte d Azur,83,VAR
83160,Cinéma,Pathe,LA_VALETTE-DU-VAR,3271.0,,16.0,Cinéma,1 - Grands centres urbains,43.13686498,6.00628904,93,Provence-Alpes-Côte d Azur,83,VAR
84500,Cinéma,Le Clap,BOLLÈNE,97.0,,1.0,Cinéma,3 - Petites villes,44.28027705,4.7481225,93,Provence-Alpes-Côte d Azur,84,VAUCLUSE
84200,Cinéma,Rivoli,CARPENTRAS,612.0,,4.0,Cinéma,2 - Centres urbains intermédiaires,44.05028387,5.0472884,93,Provence-Alpes-Côte d Azur,84,VAUCLUSE
84300,Cinéma,La Cigale,CAVAILLON,360.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,43.83466749,5.04195922,93,Provence-Alpes-Côte d Azur,84,VAUCLUSE
84820,Cinéma,Salle des Fetesf.Mistral,VISAN,130.0,,1.0,Cinéma,5 - Bourgs ruraux,44.312781,4.951099,93,Provence-Alpes-Côte d Azur,84,VAUCLUSE
85470,Cinéma,Le Fief,BRETIGNOLLES-SUR-MER,290.0,,1.0,Cinéma,5 - Bourgs ruraux,46.63006161,-1.85294852,52,Pays de la Loire,85,VENDEE
